priority,location,filename,remote_path,size_bytes,modified,recommended_action,reason
P0,Downloads,tyk-eu-ai-act-data-act-api-ai-governance-article.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-eu-ai-act-data-act-api-ai-governance-article.md,36944,"2026-05-19 18:50",copy,"Tyk/AI governance work artifact"
P0,Downloads,tyk-ai-studio-eu-ai-act-data-act-readiness.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-ai-studio-eu-ai-act-data-act-readiness.md,25431,"2026-05-19 15:32",copy,"Tyk AI Studio/EU AI Act work artifact"
P0,Downloads,Audit_Report_PreDex.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Audit_Report_PreDex.pdf,2525340,"2026-05-19 21:22",copy-if-relevant,"Audit report; likely work/research relevant"
P0,Downloads,system_truth_layer_proposal.docx,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/system_truth_layer_proposal.docx,55699,"2026-05-10 20:54",copy,"Work/proposal document"
P0,Downloads,agentic_delivery_provocation.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/agentic_delivery_provocation.pdf,262901,"2026-05-09 12:58",copy,"Agentic delivery work/research artifact"
P0,Downloads,CVBGF-AI augmented delivery - working approach and hyptothesis-090526-095633.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/CVBGF-AI augmented delivery - working approach and hyptothesis-090526-095633.pdf,1035669,"2026-05-09 12:56",copy,"AI augmented delivery work document"
P0,Downloads,agentic_exec_summary.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/agentic_exec_summary.pdf,13715,"2026-05-09 12:55",copy,"Agentic delivery summary"
P0,Downloads,AI SE Handbook Volume 1.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/AI SE Handbook Volume 1.pdf,24644370,"2026-05-07 13:29",copy,"AI/software engineering reference"
P0,Downloads,69f24d3e09b921b92403774e_Claude-Deploying-Claude-Across-Your-Organization-04292026.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/69f24d3e09b921b92403774e_Claude-Deploying-Claude-Across-Your-Organization-04292026.pdf,754116,"2026-05-06 13:39",copy,"Claude deployment reference"
P0,Downloads,tyk-token-exchange-flow-examples.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-token-exchange-flow-examples.md,56487,"2026-04-29 16:24",copy,"Tyk token exchange work artifact"
P0,Downloads,tyk-token-exchange-rfc-review.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-token-exchange-rfc-review.md,46064,"2026-04-29 16:22",copy,"Tyk token exchange work artifact"
P0,Downloads,tyk-token-exchange-market-research.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-token-exchange-market-research.md,48893,"2026-04-29 16:01",copy,"Tyk token exchange work artifact"
P0,Downloads,EN-Token Exchange in externalOAuth-290426-120924.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/EN-Token Exchange in externalOAuth-290426-120924.pdf,1894122,"2026-04-29 15:09",copy,"Tyk/token exchange reference"
P0,Downloads,"Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire).xlsx","/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire).xlsx",55386,"2026-04-23 11:01",copy,"Tyk questionnaire data"
P0,Downloads,"Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire) - Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire).csv","/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire) - Tyk Technologies - Questionnaire - API Management Software, Q3 2026(Questionnaire).csv",11311,"2026-04-23 11:02",copy,"Tyk questionnaire data"
P0,Downloads,Tyk_RD_Report_Feb2025_Jan2026.docx,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Tyk_RD_Report_Feb2025_Jan2026.docx,99631,"2026-04-01 20:14",copy,"Tyk R&D report"
P0,Downloads,tyk-rd-report-2025-research.md,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/tyk-rd-report-2025-research.md,34206,"2026-03-21 23:00",copy,"Tyk R&D research notes"
P0,Downloads,Docker_DHI_SMBPackage_Tyk_2026.pdf,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads/Docker_DHI_SMBPackage_Tyk_2026.pdf,28537,"2026-01-29 13:44",copy,"Tyk/Docker work document"
