category,item,path,size_kb,size_gib,notes
free-space,current-root,/Users/leonidbugaev,169869312,162.00,"Available space on current machine root volume from df -h"
ai-history,remote-claude,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude,2847828,2.72,"Full broken-Mac Claude Code directory"
ai-history,remote-claude-json,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude.json,388,0.00,"Broken-Mac Claude JSON config/state"
ai-history,remote-codex,/Volumes/Macintosh HD-1/Users/leonidbugaev/.codex,28080584,26.78,"Full broken-Mac Codex directory"
ai-history,remote-codex-sessions,/Volumes/Macintosh HD-1/Users/leonidbugaev/.codex/sessions,13867656,13.23,"Largest useful Codex history component"
ai-history,remote-codex-log,/Volumes/Macintosh HD-1/Users/leonidbugaev/.codex/log,13431500,12.81,"Large TUI/debug log; optional unless you need raw logs"
ai-history,remote-codex-logs-db,/Volumes/Macintosh HD-1/Users/leonidbugaev/.codex/logs_2.sqlite,673792,0.64,"SQLite log database; replace-only with backup"
ai-history,remote-claude-projects,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude/projects,2422160,2.31,"Largest useful Claude history component"
ai-history,remote-claude-downloads,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude/downloads,225028,0.21,"Claude binary downloads; optional"
ai-history,remote-claude-file-history,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude/file-history,95720,0.09,"Claude file history"
ai-history,remote-claude-telemetry,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude/telemetry,58004,0.06,"Telemetry/cache-like data"
ai-history,remote-claude-todos,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude/todos,35296,0.03,"Claude todos"
non-go-projects,Projects,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects,TIMEOUT,UNKNOWN,"Remote-only project tree; top-level entries include CosyVoice, buger, fish-speech, newsletter, sherpa-onnx, silero-tts, speech-pattern-detector"
non-go-projects,Projects/buger,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/buger,16520,0.02,"Measured with 15s timeout"
non-go-projects,Projects/CosyVoice,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/CosyVoice,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB"
non-go-projects,Projects/fish-speech,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/fish-speech,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB"
non-go-projects,Projects/newsletter,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/newsletter,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB; important work folder"
non-go-projects,Projects/sherpa-onnx,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects/sherpa-onnx,TIMEOUT,UNKNOWN,"Timed out after 15s over SMB"
